vessel_name,imo
30-AGUSTOS-M,9287209
ACE ETERNITY,9920679
ADITYA,9323314
ADRIATIC ENERGY,8110203
ADVAITA,9881639
AFRICAN TURACO,9701700
AKDENIZ M,9261047
AL AGAILA,9415404
AL BETROLEYA,9700225
ALANYA-M,9158159
ALHAYA,9939163
ALJAZIAH,9313113
ALLIANCE,9552824
AM KIRTI,9832925
AM OCEAN PRIDE,9427330
AM OCEAN SILVER,9288497
AM OCEAN STAR,9336385
AM TARANG,9832913
AM UMANG,9792058
AMBER ETERNITY,9993494
AMIRANTE,9629706
AMIS ACE,9552989
AMIS BRAVE,9667459
AMIS ELEGANCE,9705421
AMIS FORTUNE,9724178
AMIS INTEGRITY,9732412
AMIS JUSTICE,9732424
AMIS KALON,9520807
AMIS LEADER,9520819
AMIS MIRACLE,9768045
AMIS NATURE,9787974
AMIS POWER,9780990
AMIS WISDOM I,9426764
AMIS WISDOM II,9426776
AMIS WISDOM III,9573866
AMIS XCEL,9983774
AMIS YOUTH,9979242
AMNS TUFMAX,9486295
AN LI,9269063
ANABELA,9587350
ANTAKYA-M,9302803
AOM BIANCA,9728215
AOM FEDERICA,9870460
AOM MARTA,9760005
APL ANTWERP,9532795
APL CALIFORNIA,9350044
APL FLORIDA,9350032
APL OREGON,9532783
APOLLO OCEAN,9423322
AQUAVITA LIME,9875630
AQUAVITA MINT,9875628
AQUAVITA TRUST,9826445
ARCTIC TERN,9967897
ASI M,9244843
ASTORIA BAY,9317482
ATA-M,9197662
ATHENS BRIDGE,9409053
ATLANTIC DRAGON,9874600
ATLANTIC LION,9880867
ATLANTIC TIGER,9874612
AUGUSTE SCHULTE,9696797
AURORA I,9629691
AYOE,9800702
BABYLON,9878826
BAGSHOT,9938987
BAHRI MUNIRA,9826469
BALTIC BEAR,9469259
BALTIC MANTIS,9729489
BALTIC SCORPION,9729477
BALTIC WEST,9409041
BALTIC WOLF,9492335
BAO MIN,9565510
BASIC GLORY,9836579
BASIC SUN,9985617
BASIC VICTORY,9836787
BASSET,9858060
BASTIONS,9431173
BEAGLE,9814181
BEAR MOUNTAIN BRIDGE,9463293
BEAVER,9746695
BELLEVUE,9431185
BELMONTE,9687124
BENTEN GALAXY,9932725
BERGE NYANGANI,9558294
BERTHA,9208239
BESIKTAS-M,9291365
BETEL,9181003
BG AGNES,9348302
BLOSSOM GLORY,9362372
BLUE BUTTERFLY,9788576
BLUE GRASS MARINER,9905411
BLUE OPAL,9474644
BLUEFIN PEARL,9397808
BODRUM-M,9425784
BOLD WORLD,9141417
BOSPHORUS-M,9359818
BOW CHEETAH,9952141
BOW JAGUAR,9989209
BOW LEOPARD,9952165
BOW LION,9952177
BOW LYNX,9989194
BOW PANTHER,9952153
BOW PERFORMER,9790658
BOW PRECISION,9790646
BOW VICTORY,9773179
BOXER,9814193
BOZBURUN-M,9237204
BRIGHT COSMOS,9989821
BRIGHT FUJI,9989833
BRIGHT PIONEER,9360233
BRIGHT WORLD,9125114
BRO ANNA,9344435
BRO NISSUM,9340623
BRO NUUK,9323819
BRYANSTON,9290311
BULK ATACAMA,9683130
BULK FINLAND,9691577
GENCO COURAGEOUS,9875111
BULK POLAND,9682863
BULL SHARK,9391440
BULLDOG,9858072
BUNGO CROWN,9925875
BUNUN INFINITY,9732436
BUNUN KALON,9768033
BUNUN NOBLE,9801287
BUNUN ORCHID,9894624
BUNUN QUEEN,9912438
BUNUN WISDOM,9628568
BUNUN XCEL,9959307
BUNUN YOUTH,9959319
BUNUN ZEST,9979058
BW BIRCH,9320740
